person_id,name,eligible,missed
412293,Rep. Ben Luján [D-NM3],519,1
412294,Rep. Cynthia Lummis [R-WY0],519,16
400249,Rep. Stephen Lynch [D-MA8],519,16
412643,Rep. Tom MacArthur [R-NJ3],519,0
400251,Rep. Carolyn Maloney [D-NY12],514,34
412562,Rep. Sean Maloney [D-NY18],514,11
412391,Sen. Joe Manchin [D-WV],271,5
400656,Rep. Kenny Marchant [R-TX24],519,33
412468,Rep. Tom Marino [R-PA10],519,9
400253,Sen. Edward “Ed” Markey [D-MA],271,7
412503,Rep. Thomas Massie [R-KY4],519,1
400663,Rep. Doris Matsui [D-CA6],519,2
300071,Sen. John McCain [R-AZ],271,7
412190,Rep. Kevin McCarthy [R-CA23],519,0
412243,Sen. Claire McCaskill [D-MO],271,8
400654,Rep. Michael McCaul [R-TX10],519,0
412295,Rep. Tom McClintock [R-CA4],519,6
400259,Rep. Betty McCollum [D-MN4],519,13
300072,Sen. Mitch McConnell [R-KY],271,0
400262,Rep. Jim McDermott [D-WA7],519,9
400263,Rep. James “Jim” McGovern [D-MA2],519,3
400644,Rep. Patrick McHenry [R-NC10],519,4
412487,Rep. David McKinley [R-WV1],519,7
400659,Rep. Cathy McMorris Rodgers [R-WA5],519,4
412189,Rep. Jerry McNerney [D-CA9],519,18
412611,Rep. Martha McSally [R-AZ2],519,0
412552,Rep. Mark Meadows [R-NC11],519,5
412466,Rep. Patrick Meehan [R-PA7],519,3
400271,Rep. Gregory Meeks [D-NY5],514,42
412560,Rep. Grace Meng [D-NY6],514,28
400272,Sen. Robert “Bob” Menéndez [D-NJ],271,6
412325,Sen. Jeff Merkley [D-OR],271,2
412540,Rep. Luke Messer [R-IN6],519,6
400273,Rep. John Mica [R-FL7],519,2
300073,Sen. Barbara Mikulski [D-MD],271,14
400276,Rep. Candice Miller [R-MI10],519,1
400279,Rep. Jeff Miller [R-FL1],519,30
412634,Rep. John Moolenaar [R-MI4],519,12
412662,Rep. Alex Mooney [R-WV2],519,5
400661,Rep. Gwen Moore [D-WI4],519,42
400284,Sen. Jerry Moran [R-KS],271,11
412632,Rep. Seth Moulton [D-MA6],519,1
412568,Rep. Markwayne Mullin [R-OK2],519,2
412474,Rep. Mick Mulvaney [R-SC5],519,23
300075,Sen. Lisa Murkowski [R-AK],271,12
412194,Sen. Christopher Murphy [D-CT],271,1
412527,Rep. Patrick Murphy [D-FL18],519,30
400285,Rep. Tim Murphy [R-PA18],519,3
300076,Sen. Patty Murray [D-WA],271,5
400289,Rep. Jerrold Nadler [D-NY10],514,8
400290,Rep. Grace Napolitano [D-CA32],519,25
400291,Rep. Richard Neal [D-MA1],519,15
300078,Sen. Bill Nelson [D-FL],271,23
400441,Rep. Randy Neugebauer [R-TX19],519,5
412660,Rep. Dan Newhouse [R-WA4],519,1
412475,Rep. Kristi Noem [R-SD0],519,20
408211,Rep. Richard Nolan [D-MN8],511,14
412606,Rep. Donald Norcross [D-NJ1],519,4
412409,Rep. Richard Nugent [R-FL11],519,34
400297,Rep. Devin Nunes [R-CA22],519,0
412442,"Rep. Alan Nunnelee [R-MS1, 2011-2015]",51,51
412575,Rep. Beto O'Rourke [D-TX16],519,17
412302,Rep. Pete Olson [R-TX22],519,16
412443,Rep. Steven Palazzo [R-MS4],519,7
400308,Rep. Frank Pallone [D-NJ6],519,8
412608,Rep. Gary Palmer [R-AL6],519,1
400309,Rep. Bill Pascrell [D-NJ9],519,13
412492,Sen. Rand Paul [R-KY],271,6
412303,Rep. Erik Paulsen [R-MN3],519,6
412506,Rep. Donald Payne [D-NJ10],519,91
400313,Rep. Stevan “Steve” Pearce [R-NM2],519,12
400314,Rep. Nancy Pelosi [D-CA12],519,35
412666,Sen. David Perdue [R-GA],271,0
412192,Rep. Ed Perlmutter [D-CO7],519,31
412569,Rep. Scott Perry [R-PA4],519,7
412305,Sen. Gary Peters [D-MI],271,4
412523,Rep. Scott Peters [D-CA52],519,14
400316,Rep. Collin Peterson [D-MN7],519,6
412307,Rep. Chellie Pingree [D-ME1],519,5
412551,Rep. Robert Pittenger [R-NC9],519,10
400320,Rep. Joseph Pitts [R-PA16],519,9
412585,Rep. Mark Pocan [D-WI2],519,8
400652,Rep. Ted Poe [R-TX2],519,10
